Name,Rating,Cuisines,Category,Item Name,Price,Description,Vegetarian
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Breakfast Specials,₹70,,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Breakfast Specials,₹70,,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Breakfast Specials,₹70,Order Online,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Bun Butter,₹70,BREAKFAST,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Bun Butter,₹70,Bun and butter.,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Bun Butter,₹70,Bun and butter.,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Bun Butter,₹70,Bun and butter.,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Bun Butter,₹70,Bun and butter.,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Bun Butter,₹70,,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Bun Butter,₹70,,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Veg Sandwich,₹100,Vegetarian sandwich consisting of vegetable filling between bread,Yes
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Veg Sandwich,₹100,Vegetarian sandwich consisting of vegetable filling between bread,Yes
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Veg Sandwich,₹100,Vegetarian sandwich consisting of vegetable filling between bread,Yes
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Veg Sandwich,₹100,Vegetarian sandwich consisting of vegetable filling between bread,Yes
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Veg Sandwich,₹100,,Yes
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Veg Sandwich,₹100,,Yes
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Butter Toast,₹100,Toast with butter.,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Butter Toast,₹100,Toast with butter.,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Butter Toast,₹100,Toast with butter.,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Butter Toast,₹100,Toast with butter.,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Butter Toast,₹100,,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Butter Toast,₹100,,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Butter Toast with Jam,₹100,"Crispy, golden toast slathered with creamy butter and a generous layer of sweet, ... read more",No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Butter Toast with Jam,₹100,"Crispy, golden toast slathered with creamy butter and a generous layer of sweet, ... read more",No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Butter Toast with Jam,₹100,"Crispy, golden toast slathered with creamy butter and a generous layer of sweet, ... read more",No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Butter Toast with Jam,₹100,"Crispy, golden toast slathered with creamy butter and a generous layer of sweet, ... read more",No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Butter Toast with Jam,₹100,,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Butter Toast with Jam,₹100,,No
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Mix Veg Grilled Sandwich,₹120,Vegetarian sandwich consisting of vegetable filling between bread,Yes
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Mix Veg Grilled Sandwich,₹120,Vegetarian sandwich consisting of vegetable filling between bread,Yes
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Mix Veg Grilled Sandwich,₹120,Vegetarian sandwich consisting of vegetable filling between bread,Yes
Hotel Prakash & Restaurant,N/A,N/A,Breakfast Specials,Mix Veg Grilled Sandwich,₹120,Vegetarian sandwich consisting of vegetable filling between bread,Yes
