Name,Rating,Cuisines,Category,Item Name,Price,Description,Vegetarian
Hotel Prakash & Restaurant,4.0,,Breakfast Specials,Breakfast Specials,₹70,,Yes
Hotel Prakash & Restaurant,4.0,,Breakfast Specials,Bun Butter,₹70,BREAKFAST,Yes
Hotel Prakash & Restaurant,4.0,,Breakfast Specials,Veg Sandwich,₹100,Vegetarian sandwich consisting of vegetable filling between bread,Yes
Hotel Prakash & Restaurant,4.0,,Breakfast Specials,Butter Toast,₹100,Toast with butter.,Yes
Hotel Prakash & Restaurant,4.0,,Breakfast Specials,Butter Toast with Jam,₹100,"Crispy, golden toast slathered with creamy butter and a generous layer of sweet, ... read more",Yes
Hotel Prakash & Restaurant,4.0,,Breakfast Specials,Mix Veg Grilled Sandwich,₹120,Vegetarian sandwich consisting of vegetable filling between bread,Yes
Hotel Prakash & Restaurant,4.0,,Breakfast Specials,Cheese Sandwich,₹130,"A classic comfort food made by layering melted cheese between slices of bread, ... read more",Yes
Hotel Prakash & Restaurant,4.0,,Breakfast Specials,Cheese Grilled Sandwich,₹130,Vegetarian sandwich consisting of cheese filling between bread,Yes
Hotel Prakash & Restaurant,4.0,,Breakfast Specials,Pav Bhaji,₹180,Thick vegetable curry served with a soft bread roll (Pav),Yes
Hotel Prakash & Restaurant,4.0,,Breakfast Specials,Poori Bhaji [4 Poori],₹180,"Fluffy, golden poori served with a flavorful and spiced bhaji, creating a perfect ... read more",Yes
Hotel Prakash & Restaurant,4.0,,Breakfast Specials,Chana Bhatura [2 Pieces],₹180,Chana Bhatura Is Ideally Served With Indian Flat Bread Bhatura Prepared From All ... read more,Yes
Hotel Prakash & Restaurant,4.0,,Breakfast Specials,Paneer Chana Bhatura,₹190,Paneer chana bhatura Is ideally served with Indian flat bread bhatura prepared from ... read more,Yes
Hotel Prakash & Restaurant,4.0,,Starters,Veg Seekh Kabab,₹250,Cooked Mixed Vegetable Mixture Is Shaped Around The Skewers And Grill To The ... read more,Yes
Hotel Prakash & Restaurant,4.0,,Starters,Dahi Kabab,₹260,Blend Of Hung Curd Infused With Indian Spices And Shallow Fried.,Yes
Hotel Prakash & Restaurant,4.0,,Starters,Hara Bhara Kabab,₹260,"Wholesome and flavorful veg kebabs made with a blend of spinach, peas, and ... read more",Yes
Hotel Prakash & Restaurant,4.0,,Starters,Paneer Hariyali Tikka,₹310,"Paneer Hariyali Tikka Is A North Indian Recipe Made Using Paneer (Cottage Cheese), ... read more",Yes
Hotel Prakash & Restaurant,4.0,,Starters,Paneer Tikka,₹320,"Paneer Marinated In Spices And Yoghurt, Grilled In The Tandoor.",Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Idli [1 Piece],₹70,SOUTH INDIAN,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,1 Vada,₹70,"Fried, Doughnut Shaped South Indian Delicacy Made From Urad Dal",Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Idli Sambar [Home Style Preparation],₹130,Steamed Rice Cake Served With Sambar,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Vada Sambar [2 Vada],₹120,"Fried, Doughnut Shaped South Indian Delicacy Made From Urad Dal Served With Sambar",Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Idli Sambar [2 Pieces],₹100,Steamed Rice Cake Served With Sambar,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Mini Dosa,₹140,Masala dosa in small size.,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Plain Dosa,₹130,"Flat Thin Layered Rice Batter, Originating From The Indian Subcontinent, Made From A ... read more",Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Masala Dosa,₹180,Dosa Stuffed With Potato Masala Served With Sambar.,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Onion Masala Dosa,₹200,Masala Dosa Is Crispy Rice & Lentil Crepes That Are Stuffed With A ... read more,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Butter Masala Dosa,₹190,Butter Dosa Stuffed With Potato Masala Served And Sambar.,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Paneer Masala Dosa,₹190,Dosa Stuffed With Paneer Masala Served With Sambar.,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Rava Butter Masala Dosa,₹210,Rava Dosa Is A Delectably Crispy Rava Dosa That Can Be Prepared Instantly.,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Special Masala Dosa,₹210,"A delectable South Indian favorite, featuring a crispy rice crepe filled with a ... read more",Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Mysore Masala Dosa,₹190,Mysore Masala Dosa Is Crisp And Soft Dosa Spiced With Red Chutney And ... read more,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Onion Tomato Uttapam,₹210,Thick And Fluffy Rice And Lentil Based Pancake With Onion And Tomato Toppings,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Paneer Uttapam,₹210,Thick And Fluffy Rice And Lentil Based Pancake With Paneer Toppings,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Mixed Uttapam,₹210,A savory South Indian pancake made with a batter of fermented rice and ... read more,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Chinese Chopsuey Dosa,₹190,TASTE THE DIFFERENCE DOSA,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,American Delight Dosa,₹190,A delightful fusion creation featuring a dosa filled with a mix of ingredients ... read more,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Spring Roll Dosa,₹190,An innovative fusion where a dosa is filled with a mixture inspired by ... read more,Yes
Hotel Prakash & Restaurant,4.0,,South Indian,Veg Noodles Dosa,₹190,A creative fusion dish where a dosa is stuffed with a flavorful mixture ... read more,Yes
